plant_id,light_treatment,nitrogen_treatment,amf_treatment,focal_leaf_weight,other_leaf_weight,stem_weight,root_weight,reference_root_weight,notes
HNHL Myco 1,high,high,yes,0.345,2.9375,2.3157,2.3173,0.0032,
HNHL Myco 2,high,high,yes,0.4421,2.7324,2.212,1.8886,0.0056,
HNHL Myco 3,high,high,yes,0.0878,0.4242,0.3398,0.3002,0.0015,
HNHL Myco 4,high,high,yes,0.4214,2.0691,1.8852,2.4331,0.0018,
HNHL Myco 5,high,high,yes,0.0549,0.1796,0.1192,0.104,0.0017,
HNHL Myco 6,high,high,yes,0.4074,2.3771,1.9501,1.1819,0.0027,
HNHL Myco 7,high,high,yes,0.5393,3.718,3.4935,2.8955,0.0026,
HNHL Myco 8,high,high,yes,0.333,2.0102,1.1817,1.0894,0.006,
HNLL Myco 1,low,high,yes,0.055,0.9267,0.6939,1.0239,0.003,
HNLL Myco 2,low,high,yes,0.1416,0.6938,0.5275,0.2274,0.0039,
HNLL Myco 3,low,high,yes,0.1441,0.8703,0.6674,0.2286,0.0015,
HNLL Myco 4,low,high,yes,0.1088,0.7805,0.526,0.5019,0.0037,
HNLL Myco 5,low,high,yes,0.2687,1.5598,1.461,0.554,0.0025,
HNLL Myco 6,low,high,yes,0.2157,1.1134,0.9333,1.391,0.0021,
HNLL Myco 7,low,high,yes,0.1364,0.5061,0.4151,0.614,0.002,
HNLL Myco 8,low,high,yes,0.1132,0.8378,0.6825,0.218,0.0029,
LNHL Myco 1,high,low,yes,0.0451,0.036,0.0751,0.1203,0.0019,single leaf
LNHL Myco 2,high,low,yes,0.0447,0.2926,0.2218,0.4963,0.0066,
LNHL Myco 3,high,low,yes,0.0688,0.3944,0.2474,0.3333,0.0014,
LNHL Myco 4,high,low,yes,0.0417,0.2313,0.2551,1.7478,0.0016,
LNHL Myco 5,high,low,yes,0.0433,0.2637,0.3335,0.36,0.0024,
LNHL Myco 6,high,low,yes,0.0635,0.3406,0.4186,0.6295,0.0025,
LNHL Myco 7,high,low,yes,0.0941,0.3884,0.2596,0.83,0.0021,
LNHL Myco 8,high,low,yes,0.0925,0.4606,0.2926,0.4039,0.006,
LNLL Myco 1,low,low,yes,0.0456,0.2442,0.1823,0.2204,0.0005,
LNLL Myco 2,low,low,yes,0.1639,0.2185,0.1619,0.1103,0.0022,
LNLL Myco 3,low,low,yes,0.0364,0.032,0.0544,0.1682,0.0009,single leaf
LNLL Myco 4,low,low,yes,0.0464,0.2152,0.1208,0.2799,0.0014,
LNLL Myco 5,low,low,yes,0.1022,0.4935,0.5651,0.2428,0.0027,
LNLL Myco 6,low,low,yes,0.0426,0.203,0.1484,0.5274,0.0007,
LNLL Myco 7,low,low,yes,0.1055,0.3585,0.2931,0.2662,0.0015,
LNLL Myco 8,low,low,yes,0.0385,0.2435,0.1559,0.515,0.0018,
HNHL No Myco 1,high,high,no,0.4646,2.3308,2.1244,3.9615,0.0025,
HNHL No Myco 2,high,high,no,0.3506,2.8859,2.6838,2.2563,0.002,
HNHL No Myco 3,high,high,no,0.3234,1.6909,1.4238,0.904,0.0008,
HNHL No Myco 4,high,high,no,0.249,1.0384,0.61,0.589,0.0017,
HNHL No Myco 5,high,high,no,0.2574,1.4114,1,0.8701,0.0026,
HNHL No Myco 6,high,high,no,0.2779,1.5434,1.3377,0.6888,0.0009,
HNHL No Myco 7,high,high,no,0.4588,2.8081,2.3895,1.0317,0.0017,
HNHL No Myco 8,high,high,no,0.552,4.0658,3.747,1.8198,0.0026,
HNLL No Myco 1,low,high,no,0.1595,1.0139,0.824,0.4161,0.0018,
HNLL No Myco 2,low,high,no,0.0754,0.3064,0.202,0.2549,0.0011,
HNLL No Myco 3,low,high,no,0.1686,0.7915,0.5402,0.3983,0.0015,
HNLL No Myco 4,low,high,no,0.1754,0.949,0.7466,0.42588,0.0014,
HNLL No Myco 5,low,high,no,0.0342,0.1981,0.1229,0.0481,0.0014,
HNLL No Myco 6,low,high,no,NA,0.8164,0.7795,0.2095,0.0013,
HNLL No Myco 7,low,high,no,0.1441,1.0185,0.9458,0.3605,0.0008,
HNLL No Myco 8,low,low,no,0.0702,0.3943,0.2612,0.1256,0.0013,
LNHL No Myco 1,high,low,no,0.0377,0.1531,0.1289,0.2283,0.0011,single leaf
LNHL No Myco 2,high,low,no,0.0679,0.3032,0.2878,0.3837,0.0018,
LNHL No Myco 3,high,low,no,0.0355,0.239,0.2205,0.2721,0.0016,
LNHL No Myco 4,high,low,no,0.0522,0.1775,0.3063,0.4733,0.0012,single leaf
LNHL No Myco 5,high,low,no,0.2357,0.8126,1.3023,1.3403,0.0011,
LNHL No Myco 6,high,low,no,0.1946,1.0652,1.2756,1.5596,0.0021,
LNHL No Myco 7,high,low,no,0.0675,0.349,0.3672,0.388,0.0016,
LNHL No Myco 8,high,low,no,0.1058,0.6136,0.5747,0.8812,0.0013,
LNLL No Myco 1,low,low,no,0.1499,0.5369,0.7024,0.298,0.0016,
LNLL No Myco 2,low,low,no,0.0509,0.168,0.1073,0.2891,0.0013,
LNLL No Myco 3,low,low,no,0.0831,0.4809,0.4744,0.2628,0.0016,
LNLL No Myco 4,low,low,no,0.0642,0.2782,0.2294,0.229,0.001,
LNLL No Myco 5,low,low,no,0.1732,0.916,0.8358,0.6106,0.0013,
LNLL No Myco 6,low,low,no,0.1533,0.8141,0.8965,0.6171,0.0018,
LNLL No Myco 7,low,low,no,0.0645,0.3618,0.257,0.2366,0.0012,
LNLL No Myco 8,low,low,no,0.0808,0.3051,0.2855,0.1221,0.0009,
